###Formula	Mass	Compound name	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
#Formula	Mass	Cpd	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
C6H10O7	194.042	D-Glucuronate	C00191	6556-12-3	positive	(M+Na)+	152.68		N2		
C6H10O7	194.042	D-Glucuronate	C00191	6556-12-3	negative	(M-H)-	134.25		N2		
C6H12O5	164.0678	6-Deoxy-L-galactose	C01019	2438-80-4	positive	(M+Na)+	147.32		N2		
C6H13O9P	260.0291	Glucose-6-phosphate	C03251	299-31-0	positive	(M+Na)+	162.6		N2		
C6H13O9P	260.0291	Glucose-6-phosphate	C03251	299-31-0	negative	(M-H)-	149.2		N2		
C6H13O9P	260.0291	Fructose-1-phosphate	C01094	15978-08-2	positive	(M+Na)+	159.68		N2		
C6H13O9P	260.0291	Fructose-1-phosphate	C01094	15978-08-2	negative	(M-H)-	147.56		N2		
C6H13O9P	260.0291	Fructose-6-phosphate	C00085	643-13-0	negative	(M-H)-	148.02		N2		
C6H13O9P	260.0291	Glucose-1-phosphate	C00103	59-56-3	positive	(M+Na)+	161.61		N2		
C6H13O9P	260.0291	Glucose-1-phosphate	C00103	59-56-3	negative	(M-H)-	151.78		N2		
C5H10O5	150.0528	D-Arabinose	C00216	10323-20-3	positive	(M+Na)+	143.27		N2		
C5H10O5	150.0528	L-Arabinose	C00259	87-72-9	positive	(M+Na)+	141.86		N2		
C5H10O5	150.0528	D-(-)-Ribose	C00121	50-69-1	positive	(M+Na)+	137.6		N2		
C5H10O5	150.0528	L-Ribulose	C00508	2042-27-5	positive	(M+Na)+	132.81		N2		
C5H10O5	150.0528	D-Xylulose	C05052	551-84-8	positive	(M+Na)+	141.76		N2		
C5H10O5	150.0528	D-(+)-Xylose	C00181	58-86-6	positive	(M+Na)+	132.07		N2		
C6H12O6	180.0634	D-Galactose	C00124	59-23-4	positive	(M+Na)+	142.39		N2		
C6H12O6	180.0634	D-Glucose	C00221	50-99-7	positive	(M+Na)+	147.32		N2		
C6H12O6	180.0634	D-Fructose	C10906	57-48-7	positive	(M+Na)+	141.93		N2		
C6H12O6	180.0634	D-Mannose	C00159	3458-28-4	positive	(M+Na)+	141.82		N2		
C4H9O7P	200.0086	D-Erythrose 4-Phosphate	C00279	585-18-2	positive	(M+Na)+	153.89		N2		
C4H9O7P	200.0086	D-Erythrose 4-Phosphate	C00279	585-18-2	negative	(M-H)-	149.16		N2		
C7H14O7	210.0739	D-Sedoheptulose	C08355	3019-74-7	positive	(M+Na)+	151.95		N2		
C7H14O7	210.0739	D-Sedoheptulose	C08355	3019-74-7	negative	(M-H)-	150.44		N2		
C5H11O8P	230.0192	D-Ribose 5-Phosphate	C00117	4300-28-1	positive	(M+Na)+	155.8		N2		
C5H11O8P	230.0192	D-Ribose 5-Phosphate	C00117	4300-28-1	negative	(M-H)-	141.66		N2		
C5H11O8P	230.0192	D-Ribulose 5-Phosphate	C00199	4151-19-3	positive	(M+Na)+	153.25		N2		
C5H11O8P	230.0192	D-Ribulose 5-Phosphate	C00199	4151-19-3	negative	(M-H)-	140.85		N2		
C5H11O8P	230.0192	D-Xylulose 5-Phosphate	C00231	4212-65-1	negative	(M-H)-	140.05		N2		
C6H13O9P	260.0297	D-Glucose 6 Phosphate	C03251	56-73-5	positive	(M+Na)+	161.5		N2		
C6H13O9P	260.0297	D-Glucose 6 Phosphate	C03251	56-73-5	negative	(M-H)-	149.53		N2		
C6H13O9P	260.0297	α-D-Glucose 1-Phosphate	C00103	59-56-3	positive	(M+Na)+	161.83		N2		
C6H13O9P	260.0297	α-D-Glucose 1-Phosphate	C00103	59-56-3	negative	(M-H)-	150.91		N2		
C10H18O9	282.0951	1,4-D Xylobiose	C01630	6860-47-5	positive	(M+Na)+	168.1		N2		
C10H18O9	282.0951	Xylobiose	C01630	6860-47-5	positive	(M+Na)+	163.84		N2		
C10H18O9	282.0951	Xylobiose	C01630	6860-47-5	negative	(M-H)-	164.61		N2		
C6H11Na3O12P2	340.0254	Fructose 1,6 Bisphosphate	C05378	38099-82-0	negative	(M-H)-	157.51		N2		
C6H13O10P	341.9698	6-Phosphogluconic Acid	C00345	921-62-0	positive	(M+Na)+	167.16		N2		
C6H13O10P	341.9698	6-Phosphogluconic Acid	C00345	921-62-0	negative	(M-H)-	145.88		N2		
C12H22O11	342.1162	Cellobiose	C00185	528-50-7	positive	(M+Na)+	178.66		N2		
C12H22O11	342.1162	Cellobiose	C00185	528-50-7	negative	(M-H)-	167.86		N2		
C12H22O11	342.1162	B-Gentiobiose	C08240	554-91-6	positive	(M+Na)+	181.03		N2		
C12H22O11	342.1162	B-Gentiobiose	C08240	554-91-6	negative	(M-H)-	178.35		N2		
C12H22O11	342.1162	Isomaltose	C00252	499-40-1	positive	(M+Na)+	178.02		N2		
C12H22O11	342.1162	Isomaltose	C00252	499-40-1	negative	(M-H)-	180.77		N2		
C12H22O11	342.1162	Lactulose	C07064	4618-18-2	positive	(M+Na)+	180.3		N2		
C12H22O11	342.1162	2α-Mannobiose		15548-39-7	positive	(M+Na)+	174.83		N2		
C12H22O11	342.1162	D-Maltose	C00208	69-79-4	positive	(M+Na)+	179.19		N2		
C12H22O11	342.1162	D-Maltose	C00208	69-79-4	negative	(M-H)-	205.9		N2		
C12H22O11	342.1162	Maltulose	C19633	17606-72-3	positive	(M+Na)+	181.27		N2		
C12H22O11	342.1162	Maltulose	C19633	17606-72-3	negative	(M-H)-	180.6		N2		
C12H22O11	342.1162	Melibiose	C05402	585-99-9	positive	(M+Na)+	181.14		N2		
C12H22O11	342.1162	Palatinose	C01742	13718-94-0	positive	(M+Na)+	177.31		N2		
C12H22O11	342.1162	Sophorose	C08250	20429-79-2	positive	(M+Na)+	182.74		N2		
C12H22O11	342.1162	Sucrose	C00089	57-50-1	positive	(M+Na)+	173.93		N2		
C12H22O11	342.1162	Sucrose	C00089	57-50-1	negative	(M-H)-	168.47		N2		
C12H22O11	342.1162	D-(+)-Trehalose	C01083	13718-94-0	positive	(M+Na)+	177.82		N2		
C12H22O11	342.1162	D-(+)-Trehalose	C01083	13718-94-0	negative	(M-H)-	179.02		N2		
C12H22O11	342.1162	D-(+)-Turanose	C19636	547-25-1	positive	(M+Na)+	177.42		N2		
C12H23O14P	422.0825	Trehalose 6-Phosphate	C00689	4484-88-2	positive	(M+Na)+	192.43		N2		
C12H23O14P	422.0825	Trehalose 6-Phosphate	C00689	4484-88-2	negative	(M-H)-	181.54		N2		
C18H32O16	504.169	Cellotriose	C06219	33404-34-1	positive	(M+Na)+	215.69		N2		
C18H32O16	504.169	Cellotriose	C06219	33404-34-1	negative	(M-H)-	208.38		N2		
C18H32O16	504.169	Isomaltotriose	C02160	3371-50-4	positive	(M+Na)+	210.83		N2		
C18H32O16	504.169	Isomaltotriose	C02160	3371-50-4	negative	(M-H)-	202.92		N2		
C18H32O16	504.169	1-Kestose	C03661	470-69-9	positive	(M+Na)+	205.43		N2		
C18H32O16	504.169	1-Kestose	C03661	470-69-9	negative	(M-H)-	202.78		N2		
C18H32O16	504.169	Maltotriose	C01835	1109-28-0	positive	(M+Na)+	212.54		N2		
C18H32O16	504.169	Maltotriose	C01835	1109-28-0	negative	(M-H)-	213.01		N2		
C18H32O16	504.169	Melezitose	C08243	597-12-6	negative	(M-H)-	203.52		N2		
C18H32O16	504.169	Raffinose	C00492	512-69-6	positive	(M+Na)+	208.72		N2		
C18H32O16	504.169	Raffinose	C00492	512-69-6	negative	(M-H)-	197.59		N2		
C24H42O21	666.2218	Cellotetraose	C02013	38819-01-1	positive	(M+Na)+	225		N2		
C24H42O21	666.2218	Cellotetraose	C02013	38819-01-1	negative	(M-H)-	194.74		N2		
C24H42O21	666.2218	Maltotetraose	C02052	34612-38-9	positive	(M+Na)+	230.47		N2		
C24H42O21	666.2218	Maltotetraose	C02052	34612-38-9	negative	(M-H)-	221.08		N2		
C24H42O21	666.2218	Mannotetraose		3634-02-4	positive	(M+Na)+	234.12		N2		
C24H42O21	666.2218	Mannotetraose		3634-02-4	negative	(M-H)-	223.26		N2		
C26H45NO21	707.2484	Lacto-N-Neotetraose (LNnT)	G00536	13007-32-4	positive	(M+Na)+	240.59		N2		
C26H45NO21	707.2484	Lacto-N-Neotetraose (LNnT)	G00536	13007-32-4	negative	(M-H)-	254.73		N2		
C26H45NO21	707.2484	Lacto-N-Tetraose (LNT)	G00395	14116-68-8	positive	(M+Na)+	239.18		N2		
C26H45NO21	707.2484	Lacto-N-Tetraose (LNT)	G00395	14116-68-8	negative	(M-H)-	240.89		N2		
C30H52O26	828.2747	Cellopentaose	C06218	2240-27-9	positive	(M+Na)+	251.04		N2		
C30H52O26	828.2747	Cellopentaose	C06218	2240-27-9	negative	(M-H)-	247.29		N2		
C30H52O26	828.2747	Maltopentaose	G00343	34620-76-3	positive	(M+Na)+	257.04		N2		
C30H52O26	828.2747	Maltopentaose	G00343	34620-76-3	negative	(M-H)-	254.9		N2		
C30H52O26	828.2747	3-alpha,6-alpha-Mannopentaose		112828-69-0	positive	(M+Na)+	260.33		N2		
C30H52O26	828.2747	3-alpha,6-alpha-Mannopentaose		112828-69-0	negative	(M-H)-	252.15		N2		
C30H52O26	828.2747	1,4-beta-D-Mannopentaose		70281-35-5	positive	(M+Na)+	250.1		N2		
C30H52O26	828.2747	1,4-beta-D-Mannopentaose		70281-35-5	negative	(M-H)-	248.63		N2		
C32H55NO25	853.3063	Lacto-N-Fucopentaose 1 (LNFP 1)		7578-25-8	positive	(M+Na)+	274.9		N2		
C32H55NO25	853.3063	Lacto-N-Fucopentaose 1 (LNFP 1)		7578-25-8	negative	(M-H)-	275.87		N2		
C32H55NO25	853.3063	Lacto-N-Fucopentaose 2 (LNFP 2)	G00623	21973-23-9	positive	(M+Na)+	269.04		N2		
C32H55NO25	853.3063	Lacto-N-Fucopentaose 2 (LNFP 2)	G00623	21973-23-9	negative	(M-H)-	274.27		N2		
C32H55NO25	853.3063	Lacto-N-Fucopentaose 3 (LNFP 3)	G01053	25541-09-7	positive	(M+Na)+	267.8		N2		
C32H55NO25	853.3063	Lacto-N-Fucopentaose 3 (LNFP 3)	G01053	25541-09-7	negative	(M-H)-	271.25		N2		
C36H62O32	1013.3	Maltohexaose	C01936	34620-77-4	positive	(M+Na)+	279.7		N2		
C16H30O2	254.22396	Palmitoleic acid	C08362	373-49-9	positive	(M+Na)+	172.62		N2		
C16H30O2	254.22396	Palmitoleic acid	C08362	373-49-9	negative	(M-H)-	167.86		N2		
‎C20H36O2	308.27086	Icosadienoic acid	C06425	2091-39-6	positive	(M+Na)+	184.05		N2		
‎C20H36O2	308.27086	Icosadienoic acid	C06425	2091-39-6	negative	(M-H)-	182.38		N2		
C18H34O2	282.25526	Oleic acid	C00712	112-80-1	positive	(M+Na)+	181.37		N2		
C18H34O2	282.25526	Oleic acid	C00712	112-80-1	negative	(M-H)-	176.07		N2		
C20H32O2	304.23956	Arachidonic acid	C00219	506-32-1	positive	(M+Na)+	180.97		N2		
C20H32O2	304.23956	Arachidonic acid	C00219	506-32-1	negative	(M-H)-	182.21		N2		
C12H24O2	200.17706	Lauric Acid	C02679	143-07-7	negative	(M-H)-	154.96		N2		
C15H30O2	242.22396	Pentadecylic acid	C16537	1002-84-2	negative	(M-H)-	165.59		N2		
C17H34O2	270.25526	Heptadecanoic acid		506-12-7	negative	(M-H)-	173.49		N2		
C18H32O2	280.23966	Linoleic acid	C01595	60-33-3	positive	(M+Na)+	176.38		N2		
C18H32O2	280.23966	Linoleic acid	C01595	60-33-3	negative	(M-H)-	175.37		N2		
C20H38O2	310.28656	Eicosenoic acid	C16526	5561-99-9	positive	(M+Na)+	188.57		N2		
C20H38O2	310.28656	Eicosenoic acid	C16526	5561-99-9	negative	(M-H)-	183.95		N2		
C16H32O2	256.23966	Palmitic Acid	C00249	57-10-3	positive	(M+Na)+	185.22		N2		
C16H32O2	256.23966	Palmitic Acid	C00249	57-10-3	negative	(M-H)-	169.17		N2		
C18H36O2	284.27096	Stearic Acid	C01530	57-11-4	positive	(M+Na)+	191.83		N2		
C18H36O2	284.27096	Stearic Acid	C01530	57-11-4	negative	(M-H)-	177.95		N2		
C18H30O2	278.22396	Linlenic Acid	C06427	463-40-1	positive	(M+Na)+	172.02		N2		
C18H30O2	278.22396	Linlenic Acid	C06427	463-40-1	negative	(M-H)-	174.53		N2		
C20H40O2	312.30226	Arachidic Acid	C06425	506-30-9	positive	(M+Na)+	199.97		N2		
C20H40O2	312.30226	Arachidic Acid	C06425	506-30-9	negative	(M-H)-	186.36		N2		
C20H34O2	306.25526	Bishomo-gamma-linolenic acid	C03242	1783-84-2	positive	(M+Na)+	183.38		N2		
C20H34O2	306.25526	Bishomo-gamma-linolenic acid	C03242	1783-84-2	negative	(M-H)-	182.64		N2		
C24H48O2	368.36486	Lignoceric acid	C08320	557-59-5	positive	(M+Na)+	216.86		N2		
C24H48O2	368.36486	Lignoceric acid	C08320	557-59-5	negative	(M-H)-	200.57		N2		
C22H36O2	332.2709	Adrenic acid	C16527	28874-58-0	positive	(M+H)+	189.41		N2		
C22H36O2	332.2709	Adrenic acid	C16527	28874-58-0	positive	(M+Na)+	192.83		N2		
C22H36O2	332.2709	Adrenic acid	C16527	28874-58-0	negative	(M-H)-	190.92		N2		
C22H32O2	328.2396	Docosahexaenoic acid	C06429	6217-54-5	positive	(M+H)+	184.62		N2		
C22H32O2	328.2396	Docosahexaenoic acid	C06429	6217-54-5	positive	(M+Na)+	185.06		N2		
C22H32O2	328.2396	Docosahexaenoic acid	C06429	6217-54-5	negative	(M-H)-	191.12		N2		
C21H30O5	362.2087	Cortisol	C00735	50-23-7	positive	(M+H)+	188.88		N2		
C21H30O5	362.2087	Cortisol	C00735	50-23-7	positive	(M+Na)+	213.91		N2		
C21H30O5	362.2087	Cortisol	C00735	50-23-7	negative	(M-H)-	264.15		N2		
C6H10O6	179.0556	2-Keto-3-deoxy-D-gluconic acid	C00204	17510-99-5	negative	(M-H)-	134.32		N2		
C21H30O2	314.2239	Progesterone	C00410	57-83-0	positive	(M+H)+	186.73		N2		
C21H30O3	330.2194	17α-Hydroxyprogesterone	C01176	68-96-2	positive	(M+H)+	187.57		N2		
C21H30O3	330.2194	17α-Hydroxyprogesterone	C01176	68-96-2	positive	(M+Na)+	210.26		N2		
C21H30O3	330.2194	17α-Hydroxyprogesterone	C01176	68-96-2	negative	(M-H)-	187.64		N2		
C21H32O3	332.235	17α-Hydroxypregnenolone	C05138	387-79-1	positive	(M+H)+	190.45		N2		
C21H32O3	332.235	17α-Hydroxypregnenolone	C05138	387-79-1	positive	(M+Na)+	210.49		N2		
C21H32O3	332.2351	2,1-Hydroxypregnenolone	C05485	387-79-1	positive	(M+H)+	190.52		N2		
C21H32O3	332.2351	2,1-Hydroxypregnenolone	C05485	387-79-1	positive	(M+Na)+	210.63		N2		
C21H28O5	360.1937	Aldosterone	C01780	52-39-1	positive	(M+H)+	196.05		N2		
C21H28O5	360.1937	Aldosterone	C01780	52-39-1	positive	(M+Na)+	204.09		N2		
C21H28O5	360.1937	Aldosterone	C01780	52-39-1	negative	(M-H)-	188.31		N2		
C19H26O2	286.1933	Androstenedione	C00280	63-05-8	positive	(M+H)+	183.95		N2		
C19H26O2	286.1933	Androstenedione	C00280	63-05-8	positive	(M+Na)+	204.73		N2		
C21H36O5	368.2563	B-Cortol		667-65-2	positive	(M+Na)+	204.59		N2		
C21H36O5	368.2563	B-Cortol		667-65-2	negative	(M-H)-	202.65		N2		
C21H32O2	316.2402	Pregnenolone	C01953	145-13-1	positive	(M+H)+	177.25		N2		
C21H32O2	316.2402	Pregnenolone	C01953	145-13-1	positive	(M+Na)+	216.16		N2		
C19H24O3	300.1725	2-Methoxyestrone	C05299	362-08-3	positive	(M+H)+	174.47		N2		
C19H24O3	300.1725	2-Methoxyestrone	C05299	362-08-3	positive	(M+Na)+	201.71		N2		
C19H24O3	300.1725	2-Methoxyestrone	C05299	362-08-3	negative	(M-H)-	184.55		N2		
C19H28O2	288.2089	Testosterone	C00535	58-22-0	positive	(M+H)+	183.82		N2		
C19H28O2	288.2089	Testosterone	C00535	58-22-0	positive	(M+Na)+	206.07		N2		
C21H44NO7P	453.2849	LPC 13:0		20559-17-5	positive	(M+H)+	220.71		N2		
C21H44NO7P	453.2849	LPC 13:0		20559-17-5	positive	(M+Na)+	225.41		N2		
C27H52O5	456.3808	DG (12:0/12:0)		60562-15-4	negative	(M-H)-	211.8		N2		
C22H44NPO9	497.2752	LPS (16:0/0:0)		143077-66-1	positive	(M+H)+	222.79		N2		
C22H44NPO9	497.2752	LPS (16:0/0:0)		143077-66-1	positive	(M+Na)+	228.69		N2		
C22H44NPO9	497.2752	LPS (16:0/0:0)		143077-66-1	negative	(M-H)-	222.72		N2		
C26H52NO7P	521.3475	LPC 18:1		19420-56-5	positive	(M+H)+	235.59		N2		
C26H52NO7P	521.3475	LPC 18:1		19420-56-5	positive	(M+Na)+	237.34		N2		
C30H60NO8P	593.405	PC (11:0/11:0)		27869-47-2	positive	(M+H)+	257.07		N2		
C30H60NO8P	593.405	PC (11:0/11:0)		27869-47-2	positive	(M+Na)+	260.59		N2		
C36H69NO8	643.5016	GalCer (d18:1/12:0)		111956-48-0	positive	(M+H)+	271.15		N2		
C36H69NO8	643.5016	GalCer (d18:1/12:0)		111956-48-0	positive	(M+Na)+	266.83		N2		
C36H69NO8	643.5016	GalCer (d18:1/12:0)		111956-48-0	negative	(M-H)-	262.03		N2		
C34H66NO10P	679.4423	PS (14:0/14:0)		105405-50-3	positive	(M+Na)+	247.83		N2		
C34H67O10P	666.447	BMP (14:0/14:0)		325466-03-3	positive	(M+H)+	270.18		N2		
C34H67O10P	666.447	BMP (14:0/14:0)		325466-03-3	negative	(M-H)-	262		N2		
C40H81N2O6P	716.5825	SM (d18:1/17:0)		121999-64-2	positive	(M+H)+	290.12		N2		
C40H81N2O6P	716.5825	SM (d18:1/17:0)		121999-64-2	positive	(M+Na)+	291.89		N2		
C40H76NO8P	729.5376	PC (16:1/16:1) (del9-cis)		4724-96-3	positive	(M+H)+	280.16		N2		
C40H76NO8P	729.5376	PC (16:1/16:1) (del9-cis)		4724-96-3	positive	(M+Na)+	286.9		N2		
C41H78NO8P	743.5465	PE (18:1/18:1) (del9-cis)		4004-05-1	positive	(M+H)+	283.65		N2		
C41H78NO8P	743.5465	PE (18:1/18:1) (del9-cis)		4004-05-1	positive	(M+Na)+	290.79		N2		
C41H78NO8P	743.5465	PE (18:1/18:1) (del9-cis)		4004-05-1	negative	(M-H)-	277.65		N2		
C41H78NO8P	743.5465	PE (18:1/18:1) (del9-trans)		19805-18-6	positive	(M+H)+	284.02		N2		
C41H78NO8P	743.5465	PE (18:1/18:1) (del9-trans)		19805-18-6	positive	(M+Na)+	288.54		N2		
C41H78NO8P	743.5465	PE (18:1/18:1) (del9-trans)		19805-18-6	negative	(M-H)-	276.44		N2		
C47H88O6	748.6574	TG (14:0/16:1/14:0)		875584-25-1	positive	(M+H)+	302.82		N2		
C47H88O6	748.6574	TG (14:0/16:1/14:0)		875584-25-1	positive	(M+Na)+	301.46		N2		
C38H71NO13	749.4919	LacCer (d18:1/8:0)		939036-94-9	positive	(M+H)+	280.97		N2		
C38H71NO13	749.4919	LacCer (d18:1/8:0)		939036-94-9	positive	(M+Na)+	280.67		N2		
C38H71NO13	749.4919	LacCer (d18:1/8:0)		939036-94-9	negative	(M-H)-	270.11		N2		
C40H79O10P	750.5409	PG(17:0/17:0)		799268-52-3	negative	(M-H)-	277.45		N2		
C42H82NO8P	759.5771	PC(18:1(9Z)/16:0)		59491-62-2	positive	(M+H)+	291.79		N2		
C42H82NO8P	759.5771	PC(18:1(9Z)/16:0)		59491-62-2	positive	(M+Na)+	293.64		N2		
C42H79O10P	774.5404	PG (18:1/18:1) (del9-trans)		322647-40-5	positive	(M+H)+	294.81		N2		
